job_id,start_time,phase,duration_sec,arrival_time_scaled,cpu_percent,estimated_temp_raw,estimated_temp_smoothed,memory_requested_MB,action_id,action_name,deadline_sec,elapsed_sec,sla_violation,migration_cost,reward
352,12:37:32,baseline,9.000000,5.800000,0.000000,40.000000,40.103943,1024.000000,-1,fifo,10.800000,0.016728,0,0.000000,-4.010394
228,12:37:32,baseline,50.000000,5.800000,0.000000,40.000000,40.083155,256.000000,-1,fifo,60.000000,0.014151,0,0.000000,-4.008315
424,12:37:32,baseline,10.000000,5.900000,0.000000,40.000000,40.066524,1024.000000,-1,fifo,12.000000,0.013873,0,0.000000,-4.006652
442,12:37:32,baseline,52.000000,5.900000,0.000000,40.000000,40.053219,512.000000,-1,fifo,62.400000,0.013904,0,0.000000,-4.005322
425,12:37:32,baseline,27.000000,5.900000,0.000000,40.000000,40.042575,1024.000000,-1,fifo,32.400000,0.013870,0,0.000000,-4.004258
414,12:37:33,baseline,41.000000,5.900000,5.600000,42.800000,40.594060,2048.000000,-1,fifo,49.200000,0.013874,0,0.000000,-4.059406
321,12:37:33,baseline,7.000000,6.000000,7.100000,43.550000,41.185248,256.000000,-1,fifo,8.400000,0.014015,0,0.000000,-4.118525
153,12:37:33,baseline,21.000000,6.000000,0.000000,40.000000,40.948198,256.000000,-1,fifo,25.200000,0.013885,0,0.000000,-4.094820
35,12:37:33,baseline,53.000000,6.100000,0.000000,40.000000,40.758559,2048.000000,-1,fifo,63.600000,0.016555,0,0.000000,-4.075856
211,12:37:33,baseline,36.000000,6.100000,0.000000,40.000000,40.606847,256.000000,-1,fifo,43.200000,0.013901,0,0.000000,-4.060685
282,12:37:33,baseline,33.000000,6.100000,0.000000,40.000000,40.485478,1024.000000,-1,fifo,39.600000,0.013872,0,0.000000,-4.048548
72,12:37:33,baseline,26.000000,6.200000,0.000000,40.000000,40.388382,256.000000,-1,fifo,31.200000,0.013912,0,0.000000,-4.038838
8,12:37:33,baseline,7.000000,6.300000,0.000000,40.000000,40.310706,4096.000000,-1,fifo,8.400000,0.013910,0,0.000000,-4.031071
171,12:37:33,baseline,42.000000,6.300000,0.000000,40.000000,40.248565,1024.000000,-1,fifo,50.400000,0.013877,0,0.000000,-4.024856
368,12:37:33,baseline,16.000000,6.400000,8.300000,44.150000,41.028852,4096.000000,-1,fifo,19.200000,0.016332,0,0.000000,-4.102885
139,12:37:33,baseline,15.000000,6.500000,0.000000,40.000000,40.823081,2048.000000,-1,fifo,18.000000,0.014953,0,0.000000,-4.082308
192,12:37:33,baseline,16.000000,6.700000,0.000000,40.000000,40.658465,1024.000000,-1,fifo,19.200000,0.013888,0,0.000000,-4.065847
294,12:37:33,baseline,31.000000,6.700000,0.000000,40.000000,40.526772,2048.000000,-1,fifo,37.200000,0.016600,0,0.000000,-4.052677
388,12:37:33,baseline,54.000000,6.700000,0.000000,40.000000,40.421418,2048.000000,-1,fifo,64.800000,0.014023,0,0.000000,-4.042142
197,12:37:33,baseline,9.000000,6.700000,0.000000,40.000000,40.337134,512.000000,-1,fifo,10.800000,0.014114,0,0.000000,-4.033713
160,12:37:34,baseline,14.000000,6.700000,0.000000,40.000000,40.269707,4096.000000,-1,fifo,16.800000,0.013872,0,0.000000,-4.026971
390,12:37:34,baseline,51.000000,6.800000,0.000000,40.000000,40.215766,2048.000000,-1,fifo,61.200000,0.016546,0,0.000000,-4.021577
144,12:37:34,baseline,38.000000,6.800000,0.000000,40.000000,40.172613,512.000000,-1,fifo,45.600000,0.015178,0,0.000000,-4.017261
488,12:37:34,baseline,56.000000,6.800000,0.000000,40.000000,40.138090,512.000000,-1,fifo,67.200000,0.016578,0,0.000000,-4.013809
